,zona,fecha,Freq
141,Av. Internacional Venadillo,2021-09,5274
142,Av. Internacional Venadillo,2021-10,5695
143,Av. Internacional Venadillo,2021-11,6850
144,Av. Internacional Venadillo,2021-12,4934
145,Av. Rafael Buelna,2018-01,992
146,Av. Rafael Buelna,2018-02,808
147,Av. Rafael Buelna,2018-03,894
148,Av. Rafael Buelna,2018-04,795
149,Av. Rafael Buelna,2018-05,1575
150,Av. Rafael Buelna,2018-06,1269
151,Av. Rafael Buelna,2018-07,1426
152,Av. Rafael Buelna,2018-08,1343
153,Av. Rafael Buelna,2018-09,1204
154,Av. Rafael Buelna,2018-10,805
155,Av. Rafael Buelna,2018-11,914
156,Av. Rafael Buelna,2018-12,1120
157,Av. Rafael Buelna,2019-01,1071
158,Av. Rafael Buelna,2019-02,1338
159,Av. Rafael Buelna,2019-03,1130
160,Av. Rafael Buelna,2019-04,1570
161,Av. Rafael Buelna,2019-05,1694
162,Av. Rafael Buelna,2019-06,1522
163,Av. Rafael Buelna,2019-07,1579
164,Av. Rafael Buelna,2019-08,1663
165,Av. Rafael Buelna,2019-09,1578
166,Av. Rafael Buelna,2019-10,1361
167,Av. Rafael Buelna,2019-11,1400
168,Av. Rafael Buelna,2019-12,1427
169,Av. Rafael Buelna,2020-01,1289
170,Av. Rafael Buelna,2020-02,1684
171,Av. Rafael Buelna,2020-03,1218
172,Av. Rafael Buelna,2020-04,1009
173,Av. Rafael Buelna,2020-05,570
174,Av. Rafael Buelna,2020-06,549
175,Av. Rafael Buelna,2020-07,894
176,Av. Rafael Buelna,2020-08,599
177,Av. Rafael Buelna,2020-09,1036
178,Av. Rafael Buelna,2020-10,1101
179,Av. Rafael Buelna,2020-11,1218
180,Av. Rafael Buelna,2020-12,1249
181,Av. Rafael Buelna,2021-01,1138
182,Av. Rafael Buelna,2021-02,1404
183,Av. Rafael Buelna,2021-03,1048
184,Av. Rafael Buelna,2021-04,1195
185,Av. Rafael Buelna,2021-05,1663
186,Av. Rafael Buelna,2021-06,1629
187,Av. Rafael Buelna,2021-07,1617
188,Av. Rafael Buelna,2021-08,1606
189,Av. Rafael Buelna,2021-09,1305
190,Av. Rafael Buelna,2021-10,1345
191,Av. Rafael Buelna,2021-11,1346
192,Av. Rafael Buelna,2021-12,1380
193,Av. Reforma,2018-01,635
194,Av. Reforma,2018-02,695
195,Av. Reforma,2018-03,757
196,Av. Reforma,2018-04,757
197,Av. Reforma,2018-05,698
198,Av. Reforma,2018-06,694
199,Av. Reforma,2018-07,781
200,Av. Reforma,2018-08,820
201,Av. Reforma,2018-09,747
202,Av. Reforma,2018-10,738
203,Av. Reforma,2018-11,772
204,Av. Reforma,2018-12,733
205,Av. Reforma,2019-01,1031
206,Av. Reforma,2019-02,762
207,Av. Reforma,2019-03,659
208,Av. Reforma,2019-04,665
209,Av. Reforma,2019-05,858
210,Av. Reforma,2019-06,699
211,Av. Reforma,2019-07,665
212,Av. Reforma,2019-08,784
213,Av. Reforma,2019-09,690
214,Av. Reforma,2019-10,683
215,Av. Reforma,2019-11,631
216,Av. Reforma,2019-12,668
217,Av. Reforma,2020-01,723
218,Av. Reforma,2020-02,634
219,Av. Reforma,2020-03,640
220,Av. Reforma,2020-04,583
221,Av. Reforma,2020-05,404
222,Av. Reforma,2020-06,372
223,Av. Reforma,2020-07,416
224,Av. Reforma,2020-08,425
225,Av. Reforma,2020-09,248
226,Av. Reforma,2020-10,288
227,Av. Reforma,2020-11,448
228,Av. Reforma,2020-12,537
229,Av. Reforma,2021-01,477
230,Av. Reforma,2021-02,434
231,Av. Reforma,2021-03,465
232,Av. Reforma,2021-04,353
233,Av. Reforma,2021-05,453
234,Av. Reforma,2021-06,485
235,Av. Reforma,2021-07,452
236,Av. Reforma,2021-08,286
237,Av. Reforma,2021-09,310
238,Av. Reforma,2021-10,287
239,Av. Reforma,2021-11,412
240,Av. Reforma,2021-12,405
241,Av. Sabalo-Cerritos,2018-01,82252
242,Av. Sabalo-Cerritos,2018-02,83696
243,Av. Sabalo-Cerritos,2018-03,81490
244,Av. Sabalo-Cerritos,2018-04,94643
245,Av. Sabalo-Cerritos,2018-05,86430
246,Av. Sabalo-Cerritos,2018-06,88601
247,Av. Sabalo-Cerritos,2018-07,89466
