"","Wcol","Anio","consumo","mes"
"4637","FRACC. CLUB PALMAS",2021,"748","abril"
"4638","FRACC. CLUB PALMAS",2018,"720","abril"
"4639","FRACC. CLUB PALMAS",2019,"588","abril"
"4640","FRACC. CLUB PALMAS",2020,"752","abril"
"4641","FRACC. CLUB REAL",2018,"8603","abril"
"4642","FRACC. CLUB REAL",2020,"10520","abril"
"4643","FRACC. CLUB REAL",2019,"11176","abril"
"4644","FRACC. CLUB REAL",2021,"11735","abril"
"4645","FRACC. CLUB RINCON CAMPESTRE",2021,"115","abril"
"4646","FRACC. CLUB RINCON CAMPESTRE",2019,"54","abril"
"4647","FRACC. CLUB RINCON CAMPESTRE",2018,"32","abril"
"4648","FRACC. CLUB RINCON CAMPESTRE",2020,"97","abril"
"4649","FRACC. COLINAS DEL REAL",2021,"3308","abril"
"4650","FRACC. COLINAS DEL REAL",2018,"3566","abril"
"4651","FRACC. COLINAS DEL REAL",2019,"3471","abril"
"4652","FRACC. COLINAS DEL REAL",2020,"3115","abril"
"4653","FRACC. COLINAS DEL REAL PLUS",2020,"3163","abril"
"4654","FRACC. COLINAS DEL REAL PLUS",2019,"2829","abril"
"4655","FRACC. COLINAS DEL REAL PLUS",2021,"3345","abril"
"4656","FRACC. COLINAS DEL REAL PLUS",2018,"3491","abril"
"4657","FRACC. COLINAS DEL VALLE",2020,"1145","abril"
"4658","FRACC. COLINAS DEL VALLE",2021,"1368","abril"
"4659","FRACC. COLINAS DEL VALLE",2019,"722","abril"
"4660","FRACC. COLINAS DEL VALLE",2018,"0","abril"
"4661","FRACC. COSTA AZUL (SAUCE)",2021,"6021","abril"
"4662","FRACC. COSTA AZUL (SAUCE)",2019,"7088","abril"
"4663","FRACC. COSTA AZUL (SAUCE)",2020,"6285","abril"
"4664","FRACC. COSTA AZUL (SAUCE)",2018,"6406","abril"
"4665","FRACC. COSTA BRAVA",2020,"2286","abril"
"4666","FRACC. COSTA BRAVA",2018,"2564","abril"
"4667","FRACC. COSTA BRAVA",2021,"2490","abril"
"4668","FRACC. COSTA BRAVA",2019,"2574","abril"
"4669","FRACC. COSTA DORADA",2020,"3699","abril"
"4670","FRACC. COSTA DORADA",2019,"3551","abril"
"4671","FRACC. COSTA DORADA",2021,"3482","abril"
"4672","FRACC. COSTA DORADA",2018,"3614","abril"
"4673","FRACC. COTO DIAMANTE",2019,"2267","abril"
"4674","FRACC. COTO DIAMANTE",2018,"2247","abril"
"4675","FRACC. COTO DIAMANTE",2020,"2511","abril"
"4676","FRACC. COTO DIAMANTE",2021,"2589","abril"
"4677","FRACC. COTO PLATINO",2021,"1990","abril"
"4678","FRACC. COTO PLATINO",2020,"1046","abril"
"4679","FRACC. COTO PLATINO",2019,"514","abril"
"4680","FRACC. COTO PLATINO",2018,"","abril"
"4681","FRACC. DEL BOSQUE",2018,"7371","abril"
"4682","FRACC. DEL BOSQUE",2021,"7134","abril"
"4683","FRACC. DEL BOSQUE",2019,"6644","abril"
"4684","FRACC. DEL BOSQUE",2020,"7454","abril"
"4685","FRACC. DEL VALLE",2021,"2757","abril"
"4686","FRACC. DEL VALLE",2020,"2545","abril"
"4687","FRACC. DEL VALLE",2019,"3088","abril"
"4688","FRACC. DEL VALLE",2018,"2724","abril"
"4689","FRACC. DELFINES",2019,"1122","abril"
"4690","FRACC. DELFINES",2021,"852","abril"
"4691","FRACC. DELFINES",2018,"992","abril"
"4692","FRACC. DELFINES",2020,"838","abril"
"4693","FRACC. DOÑA CHONITA",2018,"4197","abril"
"4694","FRACC. DOÑA CHONITA",2019,"4569","abril"
"4695","FRACC. DOÑA CHONITA",2020,"4293","abril"
"4696","FRACC. DOÑA CHONITA",2021,"4427","abril"
"4697","FRACC. EL CAMPESTRE",2019,"6827","abril"
"4698","FRACC. EL CAMPESTRE",2021,"7100","abril"
"4699","FRACC. EL CAMPESTRE",2020,"7394","abril"
"4700","FRACC. EL CAMPESTRE",2018,"5323","abril"
"4701","FRACC. EL CID",2020,"42976","abril"
"4702","FRACC. EL CID",2021,"45083","abril"
"4703","FRACC. EL CID",2019,"43120","abril"
"4704","FRACC. EL CID",2018,"39120","abril"
"4705","FRACC. EL DORADO",2018,"6541","abril"
"4706","FRACC. EL DORADO",2019,"7949","abril"
"4707","FRACC. EL DORADO",2020,"7247","abril"
"4708","FRACC. EL DORADO",2021,"7992","abril"
"4709","FRACC. EL ENCANTO",2018,"1976","abril"
"4710","FRACC. EL ENCANTO",2019,"2224","abril"
"4711","FRACC. EL ENCANTO",2020,"2085","abril"
"4712","FRACC. EL ENCANTO",2021,"2017","abril"
"4713","FRACC. EL PROGRESO",2018,"3147","abril"
"4714","FRACC. EL PROGRESO",2021,"3040","abril"
"4715","FRACC. EL PROGRESO",2020,"3084","abril"
"4716","FRACC. EL PROGRESO",2019,"3007","abril"
"4717","FRACC. EL SECRETO",2019,"2506","abril"
"4718","FRACC. EL SECRETO",2018,"2341","abril"
"4719","FRACC. EL SECRETO",2021,"2398","abril"
"4720","FRACC. EL SECRETO",2020,"2159","abril"
"4721","FRACC. EL TOREO",2021,"12374","abril"
"4722","FRACC. EL TOREO",2018,"11250","abril"
"4723","FRACC. EL TOREO",2020,"12581","abril"
"4724","FRACC. EL TOREO",2019,"12303","abril"
"4725","FRACC. ESMERALDA",2021,"2779","abril"
"4726","FRACC. ESMERALDA",2020,"3156","abril"
"4727","FRACC. ESMERALDA",2018,"3234","abril"
"4728","FRACC. ESMERALDA",2019,"3412","abril"
"4729","FRACC. ESTADIO",2018,"4249","abril"
"4730","FRACC. ESTADIO",2021,"5073","abril"
"4731","FRACC. ESTADIO",2019,"4956","abril"
"4732","FRACC. ESTADIO",2020,"4765","abril"
"4733","FRACC. FLAMINGOS",2021,"6631","abril"
"4734","FRACC. FLAMINGOS",2020,"6897","abril"
"4735","FRACC. FLAMINGOS",2018,"4502","abril"
"4736","FRACC. FLAMINGOS",2019,"6528","abril"
"4737","FRACC. FOVISSSTE PLAYA AZUL",2020,"9941","abril"
"4738","FRACC. FOVISSSTE PLAYA AZUL",2019,"10716","abril"
"4739","FRACC. FOVISSSTE PLAYA AZUL",2018,"9850","abril"
"4740","FRACC. FOVISSSTE PLAYA AZUL",2021,"9784","abril"
"4741","FRACC. FUENTES DEL VALLE",2020,"4319","abril"
"4742","FRACC. FUENTES DEL VALLE",2018,"3950","abril"
"4743","FRACC. FUENTES DEL VALLE",2019,"4795","abril"
"4744","FRACC. FUENTES DEL VALLE",2021,"3969","abril"
"4745","FRACC. GILBERTO LOPEZ",2020,"380","abril"
"4746","FRACC. GILBERTO LOPEZ",2019,"557","abril"
"4747","FRACC. GILBERTO LOPEZ",2018,"498","abril"
"4748","FRACC. GILBERTO LOPEZ",2021,"392","abril"
"4749","FRACC. GIRASOLES",2018,"934","abril"
"4750","FRACC. GIRASOLES",2019,"978","abril"
"4751","FRACC. GIRASOLES",2020,"906","abril"
"4752","FRACC. GIRASOLES",2021,"1107","abril"
"4753","FRACC. HACIENDA DEL MAR",2020,"2391","abril"
"4754","FRACC. HACIENDA DEL MAR",2021,"2329","abril"
"4755","FRACC. HACIENDA DEL MAR",2019,"2340","abril"
"4756","FRACC. HACIENDA DEL MAR",2018,"2545","abril"
"4757","FRACC. HACIENDA DEL SEMINARIO",2019,"15018","abril"
"4758","FRACC. HACIENDA DEL SEMINARIO",2018,"16174","abril"
"4759","FRACC. HACIENDA DEL SEMINARIO",2020,"8565","abril"
"4760","FRACC. HACIENDA DEL SEMINARIO",2021,"9556","abril"
"4761","FRACC. HACIENDA DEL VALLE",2020,"1311","abril"
"4762","FRACC. HACIENDA DEL VALLE",2018,"1201","abril"
"4763","FRACC. HACIENDA DEL VALLE",2019,"1071","abril"
"4764","FRACC. HACIENDA DEL VALLE",2021,"1355","abril"
"4765","FRACC. HACIENDA LAS CRUCES",2018,"2745","abril"
"4766","FRACC. HACIENDA LAS CRUCES",2020,"3064","abril"
"4767","FRACC. HACIENDA LAS CRUCES",2019,"2951","abril"
"4768","FRACC. HACIENDA LAS CRUCES",2021,"3805","abril"
"4769","FRACC. HACIENDA LOS MANGOS",2018,"5669","abril"
"4770","FRACC. HACIENDA LOS MANGOS",2019,"5711","abril"
"4771","FRACC. HACIENDA LOS MANGOS",2020,"5467","abril"
"4772","FRACC. HACIENDA LOS MANGOS",2021,"5515","abril"
"4773","FRACC. HACIENDA SEMINARIO II",2018,"2350","abril"
"4774","FRACC. HACIENDA SEMINARIO II",2020,"1478","abril"
"4775","FRACC. HACIENDA SEMINARIO II",2021,"1867","abril"
"4776","FRACC. HACIENDA SEMINARIO II",2019,"2625","abril"
"4777","FRACC. HOGAR DEL PESCADOR",2018,"7675","abril"
"4778","FRACC. HOGAR DEL PESCADOR",2021,"7410","abril"
"4779","FRACC. HOGAR DEL PESCADOR",2020,"7800","abril"
"4780","FRACC. HOGAR DEL PESCADOR",2019,"7895","abril"
"4781","FRACC. INVIES ARBOLEDAS",2021,"3778","abril"
"4782","FRACC. INVIES ARBOLEDAS",2019,"3788","abril"
"4783","FRACC. INVIES ARBOLEDAS",2020,"3824","abril"
"4784","FRACC. INVIES ARBOLEDAS",2018,"4349","abril"
"4785","FRACC. ISLA RESIDENCIAL",2018,"2063","abril"
"4786","FRACC. ISLA RESIDENCIAL",2019,"2535","abril"
"4787","FRACC. ISLA RESIDENCIAL",2021,"3886","abril"
"4788","FRACC. ISLA RESIDENCIAL",2020,"2299","abril"
"4789","FRACC. ISSTESIN",2020,"2106","abril"
"4790","FRACC. ISSTESIN",2019,"2173","abril"
"4791","FRACC. ISSTESIN",2021,"2004","abril"
"4792","FRACC. ISSTESIN",2018,"2065","abril"
"4793","FRACC. JACARANDAS",2020,"17300","abril"
"4794","FRACC. JACARANDAS",2018,"15807","abril"
"4795","FRACC. JACARANDAS",2021,"15390","abril"
"4796","FRACC. JACARANDAS",2019,"16640","abril"
"4797","FRACC. JARDINES DE LA ALAMEDA",2019,"1141","abril"
"4798","FRACC. JARDINES DE LA ALAMEDA",2020,"1248","abril"
"4799","FRACC. JARDINES DE LA ALAMEDA",2021,"1248","abril"
"4800","FRACC. JARDINES DE LA ALAMEDA",2018,"1076","abril"
"4801","FRACC. JARDINES DE LA RIVIERA",2020,"4632","abril"
"4802","FRACC. JARDINES DE LA RIVIERA",2021,"4591","abril"
"4803","FRACC. JARDINES DE LA RIVIERA",2018,"3656","abril"
"4804","FRACC. JARDINES DE LA RIVIERA",2019,"4316","abril"
"4805","FRACC. JARDINES DEL BOSQUE",2018,"4626","abril"
"4806","FRACC. JARDINES DEL BOSQUE",2020,"5140","abril"
"4807","FRACC. JARDINES DEL BOSQUE",2019,"4321","abril"
"4808","FRACC. JARDINES DEL BOSQUE",2021,"3849","abril"
"4809","FRACC. JARDINES DEL TOREO",2021,"857","abril"
"4810","FRACC. JARDINES DEL TOREO",2020,"889","abril"
"4811","FRACC. JARDINES DEL TOREO",2019,"989","abril"
"4812","FRACC. JARDINES DEL TOREO",2018,"801","abril"
"4813","FRACC. JOSE GORDILLO PINTO",2020,"1964","abril"
"4814","FRACC. JOSE GORDILLO PINTO",2019,"2180","abril"
"4815","FRACC. JOSE GORDILLO PINTO",2021,"1908","abril"
"4816","FRACC. JOSE GORDILLO PINTO",2018,"2112","abril"
"4817","FRACC. LA ALBORADA",2020,"5444","abril"
"4818","FRACC. LA ALBORADA",2018,"5532","abril"
"4819","FRACC. LA ALBORADA",2021,"5397","abril"
"4820","FRACC. LA ALBORADA",2019,"6251","abril"
"4821","FRACC. LA CAMPIÑA",2019,"7808","abril"
"4822","FRACC. LA CAMPIÑA",2021,"7891","abril"
"4823","FRACC. LA CAMPIÑA",2020,"5808","abril"
"4824","FRACC. LA CAMPIÑA",2018,"7022","abril"
"4825","FRACC. LA CIMA",2018,"1923","abril"
"4826","FRACC. LA CIMA",2020,"1917","abril"
"4827","FRACC. LA CIMA",2021,"1922","abril"
"4828","FRACC. LA CIMA",2019,"1874","abril"
"4829","FRACC. LA JOYA",2019,"5709","abril"
"4830","FRACC. LA JOYA",2020,"4078","abril"
"4831","FRACC. LA JOYA",2018,"4996","abril"
"4832","FRACC. LA JOYA",2021,"5589","abril"
"4833","FRACC. LA RIVIERA CONJ. RESID.",2021,"8850","abril"
"4834","FRACC. LA RIVIERA CONJ. RESID.",2018,"7859","abril"
"4835","FRACC. LA RIVIERA CONJ. RESID.",2019,"7504","abril"
"4836","FRACC. LA RIVIERA CONJ. RESID.",2020,"7814","abril"
"4837","FRACC. LAS BRISAS",2020,"1627","abril"
"4838","FRACC. LAS BRISAS",2021,"1710","abril"
"4839","FRACC. LAS BRISAS",2018,"1603","abril"
"4840","FRACC. LAS BRISAS",2019,"1694","abril"
"4841","FRACC. LAS GAVIOTAS",2018,"5144","abril"
"4842","FRACC. LAS GAVIOTAS",2021,"5340","abril"
"4843","FRACC. LAS GAVIOTAS",2019,"5101","abril"
"4844","FRACC. LAS GAVIOTAS",2020,"5537","abril"
"4845","FRACC. LAS MAÑANITAS",2021,"11009","abril"
"4846","FRACC. LAS MAÑANITAS",2018,"9989","abril"
"4847","FRACC. LAS MAÑANITAS",2019,"11163","abril"
"4848","FRACC. LAS MAÑANITAS",2020,"11119","abril"
"4849","FRACC. LAS MISIONES",2020,"10870","abril"
"4850","FRACC. LAS MISIONES",2018,"11155","abril"
"4851","FRACC. LAS MISIONES",2019,"11901","abril"
"4852","FRACC. LAS MISIONES",2021,"11353","abril"
"4853","FRACC. LOMAS DE MAZATLAN",2020,"30296","abril"
"4854","FRACC. LOMAS DE MAZATLAN",2018,"29935","abril"
"4855","FRACC. LOMAS DE MAZATLAN",2021,"31203","abril"
"4856","FRACC. LOMAS DE MAZATLAN",2019,"33376","abril"
"4857","FRACC. LOMAS DE SAN JORGE",2020,"8154","abril"
"4858","FRACC. LOMAS DE SAN JORGE",2021,"9502","abril"
"4859","FRACC. LOMAS DE SAN JORGE",2019,"8042","abril"
"4860","FRACC. LOMAS DE SAN JORGE",2018,"8943","abril"
"4861","FRACC. LOMAS DEL BOSQUE",2019,"2330","abril"
"4862","FRACC. LOMAS DEL BOSQUE",2021,"2134","abril"
"4863","FRACC. LOMAS DEL BOSQUE",2020,"2106","abril"
"4864","FRACC. LOMAS DEL BOSQUE",2018,"1899","abril"
"4865","FRACC. LOMAS DEL MAR",2018,"10931","abril"
"4866","FRACC. LOMAS DEL MAR",2020,"8234","abril"
"4867","FRACC. LOMAS DEL MAR",2021,"9017","abril"
"4868","FRACC. LOMAS DEL MAR",2019,"9153","abril"
"4869","FRACC. LOMAS DEL VALLE",2021,"7553","abril"
"4870","FRACC. LOMAS DEL VALLE",2020,"3664","abril"
"4871","FRACC. LOMAS DEL VALLE",2019,"5505","abril"
"4872","FRACC. LOMAS DEL VALLE",2018,"4476","abril"
"4873","FRACC. LOS LAURELES",2018,"3905","abril"
"4874","FRACC. LOS LAURELES",2019,"4496","abril"
"4875","FRACC. LOS LAURELES",2021,"3873","abril"
"4876","FRACC. LOS LAURELES",2020,"3947","abril"
"4877","FRACC. LOS MANGOS II",2020,"4580","abril"
"4878","FRACC. LOS MANGOS II",2021,"4317","abril"
"4879","FRACC. LOS MANGOS II",2018,"4737","abril"
"4880","FRACC. LOS MANGOS II",2019,"4107","abril"
"4881","FRACC. LOS MANGOS RESIDENCIAL",2019,"8551","abril"
"4882","FRACC. LOS MANGOS RESIDENCIAL",2020,"7904","abril"
"4883","FRACC. LOS MANGOS RESIDENCIAL",2021,"7936","abril"
"4884","FRACC. LOS MANGOS RESIDENCIAL",2018,"9143","abril"
"4885","FRACC. LOS OLIVOS",2020,"7453","abril"
"4886","FRACC. LOS OLIVOS",2018,"7696","abril"
"4887","FRACC. LOS OLIVOS",2019,"7125","abril"
"4888","FRACC. LOS OLIVOS",2021,"5203","abril"
"4889","FRACC. LOS PORTALES",2019,"6751","abril"
"4890","FRACC. LOS PORTALES",2021,"6923","abril"
"4891","FRACC. LOS PORTALES",2020,"7211","abril"
"4892","FRACC. LOS PORTALES",2018,"7241","abril"
"4893","FRACC. LOS VENADOS",2021,"872","abril"
"4894","FRACC. LOS VENADOS",2019,"1126","abril"
"4895","FRACC. LOS VENADOS",2018,"963","abril"
"4896","FRACC. LOS VENADOS",2020,"1031","abril"
"4897","FRACC. MAR DE CORTEZ",2019,"3823","abril"
"4898","FRACC. MAR DE CORTEZ",2021,"3502","abril"
"4899","FRACC. MAR DE CORTEZ",2020,"3536","abril"
"4900","FRACC. MAR DE CORTEZ",2018,"3884","abril"
"4901","FRACC. MAR Y SOL",2021,"3","abril"
"4902","FRACC. MAR Y SOL",2019,"1","abril"
"4903","FRACC. MAR Y SOL",2018,"0","abril"
"4904","FRACC. MAR Y SOL",2020,"1","abril"
"4905","FRACC. MARIA ANTONIETA",2021,"2893","abril"
"4906","FRACC. MARIA ANTONIETA",2018,"2996","abril"
"4907","FRACC. MARIA ANTONIETA",2020,"2791","abril"
"4908","FRACC. MARIA ANTONIETA",2019,"3480","abril"
"4909","FRACC. MARIA DEL MAR",2021,"419","abril"
"4910","FRACC. MARIA DEL MAR",2019,"443","abril"
"4911","FRACC. MARIA DEL MAR",2018,"509","abril"
"4912","FRACC. MARIA DEL MAR",2020,"403","abril"
"4913","FRACC. MARIA FERNANDA",2020,"1661","abril"
"4914","FRACC. MARIA FERNANDA",2018,"1570","abril"
"4915","FRACC. MARIA FERNANDA",2019,"1824","abril"
"4916","FRACC. MARIA FERNANDA",2021,"1514","abril"
"4917","FRACC. MARINA GARDENS",2019,"2401","abril"
"4918","FRACC. MARINA GARDENS",2021,"2633","abril"
"4919","FRACC. MARINA GARDENS",2020,"2669","abril"
"4920","FRACC. MARINA GARDENS",2018,"2386","abril"
"4921","FRACC. MARINA KELLY",2019,"1364","abril"
"4922","FRACC. MARINA KELLY",2018,"1479","abril"
"4923","FRACC. MARINA KELLY",2021,"1639","abril"
"4924","FRACC. MARINA KELLY",2020,"1964","abril"
"4925","FRACC. MEDITERRANEO",2021,"9596","abril"
"4926","FRACC. MEDITERRANEO",2020,"9119","abril"
"4927","FRACC. MEDITERRANEO",2019,"10173","abril"
"4928","FRACC. MEDITERRANEO",2018,"9183","abril"
"4929","FRACC. MELINA",2019,"1220","abril"
"4930","FRACC. MELINA",2021,"1084","abril"
"4931","FRACC. MELINA",2020,"1171","abril"
"4932","FRACC. MELINA",2018,"1259","abril"
"4933","FRACC. MIRASOL (PETROLEOS)",2019,"621","abril"
"4934","FRACC. MIRASOL (PETROLEOS)",2020,"496","abril"
"4935","FRACC. MIRASOL (PETROLEOS)",2018,"545","abril"
"4936","FRACC. MIRASOL (PETROLEOS)",2021,"528","abril"
"4937","FRACC. MONTE VERDE",2019,"3144","abril"
"4938","FRACC. MONTE VERDE",2020,"3150","abril"
"4939","FRACC. MONTE VERDE",2021,"3663","abril"
"4940","FRACC. MONTE VERDE",2018,"3893","abril"
"4941","FRACC. NUEVO CAJEME",2021,"2478","abril"
"4942","FRACC. NUEVO CAJEME",2020,"2739","abril"
"4943","FRACC. NUEVO CAJEME",2018,"2794","abril"
"4944","FRACC. NUEVO CAJEME",2019,"2762","abril"
"4945","FRACC. PALMAS DEL SOL",2018,"1356","abril"
"4946","FRACC. PALMAS DEL SOL",2021,"1500","abril"
"4947","FRACC. PALMAS DEL SOL",2019,"1412","abril"
"4948","FRACC. PALMAS DEL SOL",2020,"1394","abril"
"4949","FRACC. PARAISO",2018,"1365","abril"
"4950","FRACC. PARAISO",2019,"1728","abril"
"4951","FRACC. PARAISO",2021,"959","abril"
"4952","FRACC. PARAISO",2020,"1161","abril"
"4953","FRACC. PASEO ALAMEDA",2020,"3341","abril"
"4954","FRACC. PASEO ALAMEDA",2019,"3559","abril"
"4955","FRACC. PASEO ALAMEDA",2018,"3802","abril"
"4956","FRACC. PASEO ALAMEDA",2021,"3544","abril"
"4957","FRACC. PASEO DE LAS TORRES",2021,"1569","abril"
"4958","FRACC. PASEO DE LAS TORRES",2020,"1489","abril"
"4959","FRACC. PASEO DE LAS TORRES",2018,"1583","abril"
"4960","FRACC. PASEO DE LAS TORRES",2019,"1632","abril"
"4961","FRACC. PASEOS DE LOS OLIVOS",2019,"6838","abril"
"4962","FRACC. PASEOS DE LOS OLIVOS",2018,"6258","abril"
"4963","FRACC. PASEOS DE LOS OLIVOS",2020,"5382","abril"
"4964","FRACC. PASEOS DE LOS OLIVOS",2021,"5496","abril"
"4965","FRACC. PLAYA LINDA",2018,"1122","abril"
"4966","FRACC. PLAYA LINDA",2020,"1651","abril"
"4967","FRACC. PLAYA LINDA",2021,"1434","abril"
"4968","FRACC. PLAYA LINDA",2019,"1548","abril"
"4969","FRACC. PLAYA SUR",2021,"20327","abril"
"4970","FRACC. PLAYA SUR",2018,"22165","abril"
"4971","FRACC. PLAYA SUR",2019,"22358","abril"
"4972","FRACC. PLAYA SUR",2020,"19808","abril"
"4973","FRACC. PLAYA SUR II",2020,"311","abril"
"4974","FRACC. PLAYA SUR II",2018,"1127","abril"
"4975","FRACC. PLAYA SUR II",2021,"416","abril"
"4976","FRACC. PLAYA SUR II",2019,"224","abril"
"4977","FRACC. PLAYAS DEL SOL",2018,"659","abril"
"4978","FRACC. PLAYAS DEL SOL",2019,"731","abril"
"4979","FRACC. PLAYAS DEL SOL",2021,"617","abril"
"4980","FRACC. PLAYAS DEL SOL",2020,"717","abril"
"4981","FRACC. PLAYAS INFONAVIT",2021,"354","abril"
"4982","FRACC. PLAYAS INFONAVIT",2018,"257","abril"
"4983","FRACC. PLAYAS INFONAVIT",2020,"427","abril"
"4984","FRACC. PLAYAS INFONAVIT",2019,"412","abril"
"4985","FRACC. PLAZA REFORMA",2019,"2038","abril"
"4986","FRACC. PLAZA REFORMA",2021,"1875","abril"
"4987","FRACC. PLAZA REFORMA",2020,"2051","abril"
"4988","FRACC. PLAZA REFORMA",2018,"1785","abril"
"4989","FRACC. PORTAL DE LOS OLIVOS",2020,"254","abril"
"4990","FRACC. PORTAL DE LOS OLIVOS",2021,"292","abril"
"4991","FRACC. PORTAL DE LOS OLIVOS",2019,"233","abril"
"4992","FRACC. PORTAL DE LOS OLIVOS",2018,"261","abril"
"4993","FRACC. PORTO MOLINO",2020,"2826","abril"
"4994","FRACC. PORTO MOLINO",2019,"1933","abril"
"4995","FRACC. PORTO MOLINO",2018,"1016","abril"
"4996","FRACC. PORTO MOLINO",2021,"3487","abril"
"4997","FRACC. PRADERA DORADA III",2018,"1171","abril"
"4998","FRACC. PRADERA DORADA III",2019,"3479","abril"
"4999","FRACC. PRADERA DORADA III",2020,"3153","abril"
"5000","FRACC. PRADERA DORADA III",2021,"2768","abril"
"5001","FRACC. PRADERA DORADA IV",2021,"14235","abril"
"5002","FRACC. PRADERA DORADA IV",2019,"14745","abril"
"5003","FRACC. PRADERA DORADA IV",2018,"16341","abril"
"5004","FRACC. PRADERA DORADA IV",2020,"15547","abril"
"5005","FRACC. PRADERA DORADA V",2021,"16200","abril"
"5006","FRACC. PRADERA DORADA V",2020,"16843","abril"
"5007","FRACC. PRADERA DORADA V",2018,"15642","abril"
"5008","FRACC. PRADERA DORADA V",2019,"15851","abril"
"5009","FRACC. PRADERA DORADA VI",2019,"9398","abril"
"5010","FRACC. PRADERA DORADA VI",2021,"11262","abril"
"5011","FRACC. PRADERA DORADA VI",2018,"4068","abril"
"5012","FRACC. PRADERA DORADA VI",2020,"8596","abril"
"5013","FRACC. PRADO BONITO",2018,"8266","abril"
"5014","FRACC. PRADO BONITO",2020,"7590","abril"
"5015","FRACC. PRADO BONITO",2021,"8402","abril"
"5016","FRACC. PRADO BONITO",2019,"8671","abril"
"5017","FRACC. PRADOS DEL SOL",2019,"17154","abril"
"5018","FRACC. PRADOS DEL SOL",2018,"5434","abril"
"5019","FRACC. PRADOS DEL SOL",2020,"17123","abril"
"5020","FRACC. PRADOS DEL SOL",2021,"17487","abril"
"5021","FRACC. PRIV. SANTA RITA",2019,"499","abril"
"5022","FRACC. PRIV. SANTA RITA",2021,"519","abril"
"5023","FRACC. PRIV. SANTA RITA",2020,"492","abril"
"5024","FRACC. PRIV. SANTA RITA",2018,"978","abril"
"5025","FRACC. PRIVANZAS",2020,"1935","abril"
"5026","FRACC. PRIVANZAS",2018,"2494","abril"
"5027","FRACC. PRIVANZAS",2021,"2096","abril"
"5028","FRACC. PRIVANZAS",2019,"1910","abril"
"5029","FRACC. PUERTA DEL SOL",2020,"6244","abril"
"5030","FRACC. PUERTA DEL SOL",2019,"6884","abril"
"5031","FRACC. PUERTA DEL SOL",2018,"6621","abril"
"5032","FRACC. PUERTA DEL SOL",2021,"6756","abril"
"5033","FRACC. PUERTA DORADA",2021,"335","abril"
"5034","FRACC. PUERTA DORADA",2020,"385","abril"
"5035","FRACC. PUERTA DORADA",2018,"391","abril"
"5036","FRACC. PUERTA DORADA",2019,"517","abril"
"5037","FRACC. PUESTA DEL SOL",2019,"7906","abril"
"5038","FRACC. PUESTA DEL SOL",2018,"8357","abril"
"5039","FRACC. PUESTA DEL SOL",2021,"7483","abril"
"5040","FRACC. PUESTA DEL SOL",2020,"7365","abril"
"5041","FRACC. PUNTA DIAMANTE",2019,"1829","abril"
"5042","FRACC. PUNTA DIAMANTE",2018,"1516","abril"
"5043","FRACC. PUNTA DIAMANTE",2020,"2048","abril"
"5044","FRACC. PUNTA DIAMANTE",2021,"2063","abril"
"5045","FRACC. QUINTA GAVIOTAS",2019,"955","abril"
"5046","FRACC. QUINTA GAVIOTAS",2018,"867","abril"
"5047","FRACC. QUINTA GAVIOTAS",2021,"741","abril"
"5048","FRACC. QUINTA GAVIOTAS",2020,"872","abril"
"5049","FRACC. QUINTA REAL",2021,"2103","abril"
"5050","FRACC. QUINTA REAL",2018,"2569","abril"
"5051","FRACC. QUINTA REAL",2019,"2254","abril"
"5052","FRACC. QUINTA REAL",2020,"2018","abril"
"5053","FRACC. QUINTAS DEL MAR",2021,"2735","abril"
"5054","FRACC. QUINTAS DEL MAR",2018,"4236","abril"
"5055","FRACC. QUINTAS DEL MAR",2019,"2751","abril"
"5056","FRACC. QUINTAS DEL MAR",2020,"3421","abril"
"5057","FRACC. REAL DEL VALLE",2021,"11488","abril"
"5058","FRACC. REAL DEL VALLE",2020,"9816","abril"
"5059","FRACC. REAL DEL VALLE",2018,"50366","abril"
"5060","FRACC. REAL DEL VALLE",2019,"9569","abril"
"5061","FRACC. REAL DEL VALLE COTO 15",2018,"29701","abril"
"5062","FRACC. REAL DEL VALLE COTO 15",2019,"3072","abril"
"5063","FRACC. REAL DEL VALLE COTO 15",2020,"3169","abril"
"5064","FRACC. REAL DEL VALLE COTO 15",2021,"3818","abril"
"5065","FRACC. RESID. AZALEA,EL TOREO",2019,"299","abril"
"5066","FRACC. RESID. AZALEA,EL TOREO",2018,"462","abril"
"5067","FRACC. RESID. AZALEA,EL TOREO",2020,"317","abril"
"5068","FRACC. RESID. AZALEA,EL TOREO",2021,"520","abril"
"5069","FRACC. RESID. LOS CARACOLES",2019,"1154","abril"
"5070","FRACC. RESID. LOS CARACOLES",2018,"1091","abril"
"5071","FRACC. RESID. LOS CARACOLES",2020,"1116","abril"
"5072","FRACC. RESID. LOS CARACOLES",2021,"1029","abril"
"5073","FRACC. RESID. VILLAS DEL REY",2018,"17605","abril"
"5074","FRACC. RESID. VILLAS DEL REY",2020,"19613","abril"
"5075","FRACC. RESID. VILLAS DEL REY",2019,"17760","abril"
"5076","FRACC. RESID. VILLAS DEL REY",2021,"17742","abril"
"5077","FRACC. RESID. ZAFIRO",2021,"342","abril"
"5078","FRACC. RESID. ZAFIRO",2018,"277","abril"
"5079","FRACC. RESID. ZAFIRO",2019,"324","abril"
"5080","FRACC. RESID. ZAFIRO",2020,"343","abril"
